year,genre,book_title,author_name,translator,editor
2018,Fiction,Asymmetry,Lisa Halliday,,
2018,Fiction,The Great Believers,Rebecca Makkai,,
2018,Fiction,The Perfect Nanny,Leila Slimani,Sam Taylor,
2018,Fiction,There There,Tommy Orange,,
2018,Fiction,Washington Black,Esi Edugyan,,
2018,Nonfiction,American Prison: A Reporter's Undercover Journey Into the Business of Punishment,Shane Bauer,,
2018,Nonfiction,Educated: A Memoir,Tara Westover,,
2018,Nonfiction,Frederick Douglass: Prophet of Freedom,David W. Blight,,
2018,Nonfiction,How to Change Your Mind,Michael Pollan,,
2018,Nonfiction,Small Fry: A Memoir,Lisa Brennan-Jobs,,
2017,Fiction,Autumn,Ali Smith,,
2017,Fiction,Exit West,Mohsin Hamid,,
2017,Fiction,Pachinko,Min Jin Lee,,
2017,Fiction,The Power,Naomi Alderman,,
2017,Fiction,"Sing, Unburied, Sing",Jesmyn Ward,,
2017,Nonfiction,The Evolution of Beauty: How Darwin�s Forgotten Theory of Mate Choice Shapes the Animal World � and Us,Richard O. Prum,,
2017,Nonfiction,Grant,Ron Chernow,,
2017,Nonfiction,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,,
2017,Nonfiction,Prairie Fires: The American Dreams of Laura Ingalls Wilder,Caroline Fraser,,
2017,Nonfiction,Priestdaddy,Patricia Lockwood,,
2016,Fiction,The Association of Small Bombs,Karan Mahajan,,
2016,Fiction,The North Water,Ian McGuire,,
2016,Fiction,The Underground Railroad,Colson Whitehead,,
2016,Fiction,The Vegetarian,Han Kang,Deborah Smith,
2016,Fiction,War and Turpentine,Stefan Hertmans,David McKay,
2016,Nonfiction,"At the Existentialist Cafe: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,,
2016,Nonfiction,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,,
2016,Nonfiction,Evicted: Poverty and Profit in the American City,Matthew Desmond,,
2016,Nonfiction,In the Darkroom,Susan Faludi,,
2016,Nonfiction,"The Return: Fathers, Sons and the Land in Between",Hisham Matar,,
2015,Fiction,The Door,Magda Szabo,Len Rix,
2015,Fiction,A Manual for Cleaning Women: Selected Stories,Lucia Berlin,,Stephen Emerson
2015,Fiction,Outline,Rachel Cusk,,
2015,Fiction,The Sellout,Paul Beatty,,
2015,Fiction,"The Story of the Lost Child: Book 4, The Neapolitan Novels: ""Maturity, Old Age""",Elena Ferrante,Ann Goldstein,
2015,Nonfiction,Between the World and Me,Ta-Nehisi Coates,,
2015,Nonfiction,Empire of Cotton: A Global History,Sven Beckert,,
2015,Nonfiction,H Is for Hawk,Helen Macdonald,,
2015,Nonfiction,The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,,
2015,Nonfiction,One of Us: The Story of Anders Breivik and the Massacre in Norway,Asne Seierstad,Sarah Death,
2014,Fiction,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,,
2014,Fiction,DEPT. OF SPECULATION,Jenny Offill,,
2014,Fiction,EUPHORIA,Lily King,,
2014,Fiction,FAMILY LIFE,Akhil Sharma,,
2014,Fiction,REDEPLOYMENT,Phil Klay,,
2014,Nonfiction,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?,Roz Chast,,
2014,Nonfiction,ON IMMUNITY: An Inoculation,Eula Biss,,
2014,Nonfiction,PENELOPE FITZGERALD: A Life,Hermione Lee,,
2014,Nonfiction,THE SIXTH EXTINCTION: An Unnatural History,Elizabeth Kolbert,,
2014,Nonfiction,"THIRTEEN DAYS IN SEPTEMBER: Carter, Begin, and Sadat at Camp David",Lawrence Wright,,
2013,Fiction,AMERICANAH,Chimamanda Ngozi Adichie,,
2013,Fiction,THE FLAMETHROWERS,Rachel Kushner,,
2013,Fiction,THE GOLDFINCH,Donna Tartt,,
2013,Fiction,LIFE AFTER LIFE,Kate Atkinson,,
2013,Fiction,TENTH OF DECEMBER,George Saunders,,
2013,Nonfiction,"AFTER THE MUSIC STOPPED: The Financial Crisis, the Response, and the Work Ahead",Alan S. Blinder,,
2013,Nonfiction,DAYS OF FIRE: Bush and Cheney in the White House,Peter Baker,,
2013,Nonfiction,FIVE DAYS AT MEMORIAL: Life and Death in a Storm-Ravaged Hospital,Sheri Fink,,
2013,Nonfiction,THE SLEEPWALKERS: How Europe Went to War in 1914,Christopher Clark,,
2013,Nonfiction,WAVE,Sonali Deraniyagala,,
2012,Fiction,BRING UP THE BODIES,Hilary Mantel,,
2012,Fiction,BUILDING STORIES,Chris Ware,,
2012,Fiction,A HOLOGRAM FOR THE KING,Dave Eggers,,
2012,Fiction,NW,Zadie Smith,,
2012,Fiction,THE YELLOW BIRDS,Kevin Powers,,
2012,Nonfiction,"BEHIND THE BEAUTIFUL FOREVERS: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,,
2012,Nonfiction,"FAR FROM THE TREE: Parents, Children, and the Search for Identity",Andrew Solomon,,
2012,Nonfiction,THE PASSAGE OF POWER: The Years of Lyndon Johnson,Robert A. Caro,,
2012,Nonfiction,THE PATRIARCH: The Remarkable Life and Turbulent Times of Joseph P. Kennedy,David Nasaw,,
2012,Nonfiction,WHY DOES THE WORLD EXIST?: An Existential Detective Story,Jim Holt,,
2011,Fiction,THE ART OF FIELDING,Chad Harbach,,
2011,Fiction,11/22/63,Stephen King,,
2011,Fiction,SWAMPLANDIA!,Karen Russell,,
2011,Fiction,TEN THOUSAND SAINTS,Eleanor Henderson,,
2011,Fiction,THE TIGER'S WIFE,Tea Obreht,,
2011,Nonfiction,ARGUABLY: Essays,Christopher Hitchens,,
2011,Nonfiction,THE BOY IN THE MOON:A Father's Journey to Understand His Extraordinary Son,Ian Brown,,
2011,Nonfiction,MALCOLM X: A Life of Reinvention,Manning Marable,,
2011,Nonfiction,"THINKING, FAST AND SLOW",Daniel Kahneman,,
2011,Nonfiction,A WORLD ON FIRE: Britain's Crucial Role in the American Civil War,Amanda Foreman,,
2010,Fiction,FREEDOM,Jonathan Franzen,,
2010,Fiction,THE NEW YORKER STORIES,Ann Beattie,,
2010,Fiction,ROOM,Emma Donoghue,,
2010,Fiction,SELECTED STORIES,William Trevor,,
2010,Fiction,A VISIT FROM THE GOON SQUAD,Jennifer Egan,,
2010,Nonfiction,APOLLO'S ANGELS: A History of Ballet,Jennifer Homans,,
2010,Nonfiction,CLEOPATRA: A Life,Stacy Schiff,,
2010,Nonfiction,THE EMPEROR OF ALL MALADIES: A Biography of Cancer,Siddhartha Mukherjee,,
2010,Nonfiction,"FINISHING THE HAT: Collected Lyrics (1954-1981) With Attendant Comments, Principles, Heresies, _Grudges, Whines and Anecdotes",Stephen Sondheim,,
2010,Nonfiction,THE WARMTH OF OTHER SUNS: The Epic Story of America's Great Migration,Isabel Wilkerson,,
2009,Fiction,BOTH WAYS IS THE ONLY WAY I WANT IT,Maile Meloy,,
2009,Fiction,CHRONIC CITY,Jonathan Lethem,,
2009,Fiction,A GATE AT THE STAIRS,Lorrie Moore,,
2009,Fiction,HALF BROKE HORSES: A True-Life Novel,Jeannette Walls,,
2009,Fiction,A SHORT HISTORY OF WOMEN,Kate Walbert,,
2009,Nonfiction,THE AGE OF WONDER: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,,
2009,Nonfiction,THE GOOD SOLDIERS,David Finkel,,
2009,Nonfiction,LIT: A Memoir,Mary Karr,,
2009,Nonfiction,LORDS OF FINANCE: The Bankers Who Broke the World,Liaquat Ahamed,,
2009,Nonfiction,RAYMOND CARVER: A Writer's Life,Carol Sklenicka,,
2008,Fiction,DANGEROUS LAUGHTER: Thirteen Stories,Steven Millhauser,,
2008,Fiction,A MERCY,Toni Morrison,,
2008,Fiction,NETHERLAND,Joseph O'Neill,,
2008,Fiction,2666,Roberto Bolano,Natasha Wimmer,
2008,Fiction,UNACCUSTOMED EARTH ,Jhumpa Lahiri,,
2008,Nonfiction,THE DARK SIDE: The Inside Story of How the War on Terror Turned Into a War on American Ideals,Jane Mayer,,
2008,Nonfiction,THE FOREVER WAR,Dexter Filkins,,
2008,Nonfiction,NOTHING TO BE FRIGHTENED OF,Julian Barnes,,
2008,Nonfiction,THIS REPUBLIC OF SUFFERING: Death and the American Civil War,Drew Gilpin Faust,,
2008,Nonfiction,THE WORLD IS WHAT IT IS: The Authorized Biography of V. S. Naipaul,Patrick French,,
2007,Fiction,MAN GONE DOWN,Michael Thomas,,
2007,Fiction,OUT STEALING HORSES,Per Petterson,Anne Born,
2007,Fiction,THE SAVAGE DETECTIVES,Roberto Bolano,Natasha Wimmer,
2007,Fiction,THEN WE CAME TO THE END,Joshua Ferris,,
2007,Fiction,TREE OF SMOKE,Denis Johnson,,
2007,Nonfiction,IMPERIAL LIFE IN THE EMERALD CITY: Inside Iraq's Green Zone,Rajiv Chandrasekaran,,
2007,Nonfiction,LITTLE HEATHENS: Hard Times and High Spirits on an Iowa Farm During the Great Depression,Mildred Armstrong,,
2007,Nonfiction,THE NINE: Inside the Secret World of the Supreme Court,Jeffrey Toobin,,
2007,Nonfiction,THE ORDEAL OF ELIZABETH MARSH: A Woman in World History,Linda Colley,,
2007,Nonfiction,THE REST IS NOISE: Listening to the Twentieth Century,Alex Ross,,
2006,Fiction,ABSURDISTAN,Gary Shteyngart,,
2006,Fiction,THE COLLECTED STORIES OF AMY HEMPEL,Amy Hempel,,
2006,Fiction,THE EMPEROR'S CHILDREN,Claire Messud,,
2006,Fiction,THE LAY OF THE LAND,Richard Ford,,
2006,Fiction,SPECIAL TOPICS IN CALAMITY PHYSICS,Marisha Pessl,,
2006,Nonfiction,FALLING THROUGH THE EARTH: A Memoir,Danielle Trussoni,,
2006,Nonfiction,THE LOOMING TOWER: Al-Qaeda and the Road to 9/11,Lawrence Wright,,
2006,Nonfiction,"MAYFLOWER: A Story of Courage, Community, and War",Nathaniel Philbrick,,
2006,Nonfiction,THE OMNIVORE'S DILEMMA: A Natural History of Four Meals,Michael Pollan,,
2006,Nonfiction,THE PLACES IN BETWEEN,Rory Stewart,,
2005,Fiction,KAFKA ON THE SHORE,Haruki Murakami,Philip Gabriel,
2005,Fiction,ON BEAUTY,Zadie Smith,,
2005,Fiction,PREP,Curtis Sittenfeld,,
2005,Fiction,SATURDAY,Ian McEwan,,
2005,Fiction,VERONICA,Mary Gaitskill,,
2005,Nonfiction,THE ASSASSINS' GATE: America in Iraq,George Packer,,
2005,Nonfiction,DE KOONING: An American Master,Mark Stevens and Annalyn Swan,,
2005,Nonfiction,THE LOST PAINTING,Jonathan Harr,,
2005,Nonfiction,POSTWAR: A History of Europe Since 1945,Tony Judt,,
2005,Nonfiction,THE YEAR OF MAGICAL THINKING,Joan Didion,,
2004,Fiction,GILEAD,Marilynne Robinson,,
2004,Fiction,THE MASTER,Colm Toibin,,
2004,Fiction,THE PLOT AGAINST AMERICA,Philip Roth,,
2004,Fiction,RUNAWAY,Alice Munro,,
2004,Fiction,SNOW,Orhan Pamuk,Maureen Freely,
2004,Fiction,WAR TRASH,Ha Jin,,
2004,Nonfiction,ALEXANDER HAMILTON ,Ron Chernow,,
2004,Nonfiction,CHRONICLES: Volume One,Bob Dylan,,
2004,Nonfiction,WASHINGTON'S CROSSING,David Hackett Fischer,,
2004,Nonfiction,WILL IN THE WORLD: How Shakespeare Became Shakespeare,Stephen Greenblatt,,
2003,,THE BOUNTY: The True Story of the Mutiny on the Bounty,Caroline Alexander,,
2003,,BRICK LANE,Monica Ali,,
2003,,DROP CITY,Coraghessan Boyle,,
2003,,THE FORTRESS OF SOLITUDE,Jonathan Lethem,,
2003,,KHRUSHCHEV: The Man and His Era,William Taubman,,
2003,,THE KNOWN WORLD,Edward P. Jones,,
2003,,LIVING TO TELL THE TALE,Gabriel Garcia Marquez,Edith Grossman,
2003,,"RANDOM FAMILY: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,,
2003,,SAMUEL PEPYS: The Unequalled Self,Claire Tomalin,,
2002,,ANTHONY BLUNT: His Lives,Miranda Carter,,
2002,,ATONEMENT,Ian McEwan,,
2002,,BAD BLOOD,Lorna Sage,,
2002,,MIDDLESEX,Jeffrey Eugenides,,
2002,,PARIS 1919: Six Months That Changed the World,Margaret MacMillan,,
2002,,ROSCOE,William Kennedy,,
2002,,SEEING IN THE DARK: How Backyard Stargazers Are Probing Deep Space and Guarding Earth From Interplanetary Peril,Timothy Ferris,,
2001,,AUSTERLITZ,W. G. Sebald,,
2001,,BORROWED FINERY: A Memoir,Paula Fox,,
2001,,THE CORRECTIONS,Jonathan Franzen,,
2001,,"HATESHIP, FRIENDSHIP, COURTSHIP, LOVESHIP, MARRIAGE: Stories",Alice Munro,,
2001,,JOHN ADAMS,David McCullough,,
2001,,JOHN HENRY DAYS,Colson Whitehead,,
2001,,THE METAPHYSICAL CLUB,Louis Menand,,
2001,,TRUE HISTORY OF THE KELLY GANG,Peter Carey,,
2001,,UNCLE TUNGSTEN: Memories of a Chemical Boyhood,Oliver Sacks,,
2000,,BEING DEAD ,Jim Crace,,
2000,,BEOWULF: A New Verse Translation,Seamus Heaney,,
2000,,GENOME: The Autobiography of a Species in 23 Chapters,Matt Ridley,,
2000,,GERTRUDE AND CLAUDIUS,John Updike,,
2000,,A HEARTBREAKING WORK OF STAGGERING GENIUS,Dave Eggers,,
2000,,THE HUMAN STAIN,Philip Roth,,
2000,,"ONE PALESTINE, COMPLETE: Jews and Arabs Under the British Mandate",Tom Segev,,
2000,,RIMBAUD,Graham Robb,,
2000,,"WAY OUT THERE IN THE BLUE: Reagan, Star Wars and the End of the Cold War",Frances FitzGerald,,
2000,,WHITE TEETH,Zadie Smith,,
1999,,"AN AFFAIR OF STATE : The Investigation, Impeachment, and Trial of President Clinton",Richard A. Posner,,
1999,,CLOSE RANGE: Wyoming Stories,Annie Proulx,,
1999,,"COLERIDGE: Darker Reflections, 1804-1834",Richard Holmes,,
1999,,DISGRACE,J. M. Coetzee,,
1999,,THE FEELING OF WHAT HAPPENS: Body and Emotion in the Making of Consciousness,Antonio R. Damasio,,
1999,,THE FIRST WORLD WAR,John Keegan,,
1999,,HEADLONG,Michael Frayn,,
1999,,MORGAN: American Financier,Jean Strouse,,
1999,,READING THE HOLOCAUST,Inga Clendinnen,,
1999,,SECRETS OF THE FLESH: A Life of Colette,Judith Thurman,,
1999,,A STAR CALLED HENRY,Roddy Doyle,,
1998,,BIRDS OF AMERICA: Stories,Lorrie Moore,,
1998,,CLOUDSPLITTER,Russell Banks,,
1998,,LIFE: A Natural History of the First Four Billion Years of Life on Earth,Richard Fortey,,
1998,,THE LOVE OF A GOOD WOMAN: Stories,Alice Munro,,
1998,,THE POISONWOOD BIBLE,Barbara Kingsolver,,
1998,,PRESTON FALLS,David Gates,,
1998,,"TITAN: The Life of John D. Rockefeller, Sr",Ron Chernow,,
1998,,TO END A WAR,Richard Holbrooke,,
1998,,"THE UNKNOWN MATISSE: A Life of Henri Matisse: The Early Years, 1869-1908",Hilary Spurling,,
1998,,VICTOR HUGO,Graham Robb,,
1998,,WE WISH TO INFORM YOU THAT TOMORROW WE WILL BE KILLED WITH OUR FAMILIES: Stories From Rwanda,Philip Gourevitch,,
1997,,AMERICAN PASTORAL ,Philip Roth,,
1997,,AMERICAN SCRIPTURE: Making the Declaration of Independence,Pauline Maier,,
1997,,THE BLUE FLOWER,Penelope Fitzgerald,,
1997,,HUXLEY: From Devil's Disciple to Evolution's High Priest,Adrian Desmond,,
1997,,INTO THIN AIR: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,
1997,,MASON & DIXON,Thomas Pynchon,,
1997,,THE PUTTERMESSER PAPERS,Cynthia Ozick,,
1997,,TOWARD THE END OF TIME,John Updike,,
1997,,UNDERWORLD,Don DeLillo,,
1997,,VIRGINIA WOOLF,Hermione Lee,,
1997,,THE WHOLE SHEBANG: A State-of-the-Universe(s) Report,Timothy Ferris,,
1996,,AFTER RAIN,William Trevor,,
1996,,ANGELA'S ASHES: A Memoir,Frank McCourt,,
1996,,BAD LAND:�An American Romance,Jonathan Raban,,
1996,,THE COLLECTED STORIES OF MAVIS GALLANT,,,
1996,,"THE LIFE OF NELSON A. ROCKEFELLER: Worlds to Conquer, 1908-1958",Cary Reich,,
1996,,THE MOOR'S LAST SIGH,Salman Rushdie,,
1996,,SELECTED STORIES,Alice Munro,,
1996,,THE SONG OF THE DODO: Island Biogeography in an Age of Extinctions,David Quammen,,
